Type,R,Mana cost,Mana value,P,T,L,Price (USD),Watermark,Color
Legendary Creature — Elf Advisor,M,{W}{B}{G},3,3,4,,6.8,,WBG
Creature — Vampire Knight,R,{B},1,1,2,,1.76,,B
Legendary Creature — Bird Wizard,M,{1}{U}{R}{W},4,3,3,,4.65,,URW
Creature — Elemental Warrior,C,{3}{R},4,2,4,,0.02,,R
Creature — Elemental Druid,C,{1}{G},2,0,3,,0.06,,G
Sorcery,R,{1}{B},2,,,,0.23,,B
Enchantment,R,{2}{G}{G},4,,,,1.82,,G
Enchantment,R,{2}{U}{U},4,,,,2.71,,U
Enchantment,R,{2}{R}{R},4,,,,0.68,,R
Enchantment,R,{2}{W}{W},4,,,,4.9,,W
Enchantment,R,{2}{B}{B},4,,,,8.08,,B
Creature — Elemental Wizard,U,{U}{R},2,2,2,,0.04,,UR
Creature — Centaur Shaman,U,{2}{G},3,3,2,,0.07,,G
Land,R,,0,,,,2.77,,
Creature — Elephant Cleric,R,{5}{W},6,4,6,,0.1,,W
Creature — Pegasus,U,{W},1,2,1,,0.07,,W
Creature — Spider,C,{4}{G},5,3,5,,0.02,,G
Enchantment — Aura,C,{1}{R},2,,,,0.02,,R
Artifact,U,{1},1,,,,0.66,,
Artifact — Equipment,C,{2},2,,,,0.04,,
Creature — Dinosaur,R,{1}{R},2,2,3,,1.59,,R
Artifact — Equipment,U,{1}{R},2,,,,0.03,,R
Creature — Phyrexian Human Artificer,U,{3}{W},4,1,1,,0.05,,W
Instant,R,{5}{U},6,,,,0.26,,U
Artifact Creature — Golem,U,{7},7,3,3,,0.09,,
Creature — Faerie Rogue,C,{1}{U},2,1,2,,0.04,,U
Instant,U,{G},1,,,,0.04,,G
Sorcery,C,{2}{B},3,,,,0.02,,B
Creature — Fish,C,{1}{U},2,3,3,,0.02,,U
Enchantment,U,{3}{B}{G},5,,,,0.27,,BG
Instant,C,{1}{W},2,,,,0.02,,W
Creature — Human Soldier,C,{1}{W},2,2,2,,0.01,,W
Basic Land — Mountain,C,,0,,,,0.1,,
Legendary Planeswalker — Yanling,M,{4}{U}{U},6,,,5,N/A,,U
Legendary Planeswalker — Yanling,M,{1}{U}{U},3,,,2,1.48,,U
Instant,C,{1}{B}{B},3,,,,0.03,,B
Artifact,R,{4},4,,,,3.51,,
Instant,C,{2}{G},3,,,,0.03,,G
Instant,C,{1}{U},2,,,,0.11,,U
Creature — Spider,C,{2}{G},3,2,3,,0.05,,G
Creature — Wolf,R,{2}{G}{G},4,4,4,,0.45,,G
Creature — Goblin,C,{2}{R},3,2,3,,0.27,,R
Instant,U,{1}{B},2,,,,0.09,,B
Enchantment — Aura,C,{2}{G},3,,,,0.33,,G
Creature — Octopus,C,{3}{U},4,3,3,,0.04,,U
Creature — Ogre Berserker,U,{2}{B}{R},4,4,3,,0.04,,BR
Legendary Creature — Elemental,M,{1}{G}{U}{R},4,3,3,,5.48,,UGR
Sorcery,U,{3}{G}{G},5,,,,0.03,,G
Creature — Elemental,U,{2}{G},3,3,2,,0.1,,G
Enchantment — Aura,C,{1}{W},2,,,,0.03,,W
Creature — Dog,C,{1}{R},2,2,2,,0.03,,R
Artifact Creature — Golem,U,{4},4,3,3,,0.04,,
Creature — Illusion Warrior,C,{1}{U}{U},3,2,2,,0.59,,U
Basic Land — Plains,C,,0,,,,0.07,,
Sorcery,R,{3}{W}{W}{W},6,,,,0.25,,W
Instant,C,{1}{G},2,,,,0.01,,G
Artifact,U,{2}{U},3,,,,0.07,,U
Artifact Creature — Golem,C,{2},2,2,1,,0.04,,
Creature — Unicorn,C,{3}{G},4,2,2,,2.38,,G
Creature — Cat,C,{1}{W},2,3,1,,0.1,,W
Instant,U,{2}{G},3,,,,0.11,,G
Creature — Elemental,U,{3}{R}{R},5,5,4,,0.12,,R
Sorcery,C,{1}{G},2,,,,0.02,,G
Instant,C,{1}{W},2,,,,0.03,,W
Creature — Dragon,U,{4}{R},5,3,3,,0.16,,R
Sorcery,C,{R},1,,,,0.04,,R
Sorcery,C,{4}{R},5,,,,0.03,,R
Creature — Human Artificer,U,{1}{U},2,1,3,,0.06,,U
Instant,R,{2}{R}{R},4,,,,0.49,,R
Artifact,U,{3},3,,,,0.07,,
Creature — Sphinx,R,{4}{U}{U},6,5,5,,0.16,,U
Legendary Creature — Angel,M,{2}{R}{G}{W},5,5,4,,N/A,,WGR
Creature — Dinosaur,C,{4}{R}{R},6,6,5,,0.01,,R
Creature — Elemental,U,{1}{G}{U},3,1,1,,1.46,,GU
Creature — Zombie Dinosaur,R,{2}{B},3,7,6,,3.75,,B
Creature — Ogre Berserker,C,{4}{R},5,6,5,,0.37,,R
Land,C,,0,,,,0.09,,GR
Enchantment,U,{2}{W},3,,,,0.35,,W
Creature — Vedalken Wizard,C,{2}{U},3,2,3,,0.03,,U
Artifact Creature — Construct,U,{3},3,2,1,,0.09,,
Creature — Skeleton,C,{B},1,1,2,,0.02,,B
Creature — Vampire,C,{1}{B}{B},3,1,1,,0.92,,B
Creature — Cat Cleric,C,{1}{W},2,2,2,,0.16,,W
Creature — Elemental,U,{3}{R},4,1,1,,0.11,,R
Sorcery,R,{B},1,,,,5.58,,B
Creature — Human Wizard,U,{5}{U}{U},7,3,3,,0.07,,U
Creature — Elemental Lizard,C,{R},1,1,1,,0.05,,R
Land,C,,0,,,,0.09,,WB
Artifact Creature — Scarecrow,U,{3},3,2,2,,0.14,,
Enchantment,U,{1}{G},2,,,,1.41,,G
Creature — Scorpion,C,{G},1,1,1,,0.05,,G
Legendary Creature — Angel,R,{4}{W}{W}{W},7,7,7,,3.36,,W
Creature — Angel,R,{4}{W}{W},6,5,5,,0.42,,W
Instant,R,{3}{G}{G},5,,,,2.86,,G
Creature — Dinosaur,R,{2}{G}{G},4,5,4,,0.22,,G
Creature — Dragon,R,{4}{R}{R},6,5,5,,0.13,,R
Instant,C,{R},1,,,,0.03,,R
Instant,C,{1}{W},2,,,,0.18,,W
Creature — Elephant,C,{4}{W},5,3,5,,0.28,,W
Creature — Ape Shaman,C,{3}{G}{G},5,5,4,,0.04,,G
Creature — Skeleton Archer,C,{3}{B},4,3,3,,0.59,,B
Creature — Human Knight,U,{R}{W},2,1,2,,0.44,,RW
Enchantment — Aura,C,{3}{U},4,,,,0.01,,U
Creature — Drake,C,{3}{U},4,3,2,,0.33,,U
Creature — Human Wizard,C,{1}{B},2,1,3,,0.01,,B
Legendary Planeswalker — Sorin,M,{2}{B},3,,,4,14.22,,B
Legendary Planeswalker — Sorin,M,{4}{B}{B},6,,,4,N/A,,B
Creature — Vampire,R,{3}{B}{B},5,4,2,,0.25,,B
Instant,C,{B}{B},2,,,,0.13,,B
Sorcery,C,{2}{B},3,,,,0.02,,B
Creature — Human Cleric,C,{W},1,1,1,,0.04,,W
Creature — Spirit Pirate,U,{U},1,1,1,,0.24,,U
Creature — Human Soldier,C,{4}{W},5,2,2,,0.01,,W
Creature — Human Cleric,R,{1}{W},2,2,2,,3.19,,W
Creature — Human Soldier,C,{2}{W},3,3,2,,0.03,,W
Artifact Creature — Construct,R,{2},2,1,1,,0.99,,
Artifact Creature — Golem,C,{5},5,4,4,,0.01,,
Basic Land — Swamp,C,,0,,,,0.08,,
Land,C,,0,,,,0.05,,UR
Sorcery,C,{1}{W},2,,,,0.17,,W
Instant,R,{1}{U},2,,,,1.75,,U
Sorcery,C,{3}{R},4,,,,0.02,,R
Land,R,,0,,,,0.24,,UR
Land,R,,0,,,,0.25,,BG
Land,R,,0,,,,0.24,,GU
Land,R,,0,,,,0.26,,WB
Land,R,,0,,,,0.22,,RW
Creature — Elemental Rhino,C,{3}{G},4,4,3,,0.06,,G
Creature — Vampire,U,{2}{B}{B},4,3,3,,3.96,,B
Land,C,,0,,,,0.07,,GU
Sorcery,U,{4}{B}{B},6,,,,0.09,,B
Creature — Dinosaur,U,{1}{G}{G},3,3,4,,0.07,,G
Creature — Elemental Shaman,R,{1}{R},2,1,2,,0.32,,R
Instant,C,{1}{G},2,,,,0.12,,G
Creature — Zombie Wizard,U,{1}{U}{B},3,1,3,,0.2,,UB
Land,C,,0,,,,0.06,,WU
Creature — Pegasus,C,{2}{W},3,2,2,,0.16,,W
Creature — Human Knight,U,{3}{W},4,3,3,,0.6,,W
Instant,U,{2}{R},3,,,,0.03,,R
Creature — Human Berserker,U,{1}{R},2,1,1,,0.11,,R
Creature — Zombie,C,{3}{B},4,3,2,,0.01,,B
Enchantment — Aura,C,{2}{B},3,,,,0.01,,B
Instant,C,{U},1,,,,0.02,,U
Creature — Vampire,U,{B},1,1,1,,1.88,,B
Creature — Vampire,C,{1}{B},2,2,1,,0.2,,B
Instant,U,{G},1,,,,6.35,,G
Creature — Orc Warrior,U,{4}{B},5,4,4,,0.04,,B
Artifact,C,{2},2,,,,0.03,,
Legendary Creature — Demon,R,{5}{B}{B}{B},8,8,8,,6.58,,B
Legendary Planeswalker — Vivien,M,{1}{G}{G}{G},4,,,4,3,,G
Legendary Planeswalker — Vivien,M,{4}{G}{G},6,,,3,N/A,,G
Creature — Crocodile Spirit,C,{2}{G},3,3,3,,0.11,,G
Creature — Dragon,U,{4}{R}{R},6,4,4,,0.29,,R
Creature — Hydra,R,{X}{G}{G},2,0,1,,3.37,,G
Creature — Elemental Horror,C,{4}{G}{G},6,7,7,,0.03,,G
Creature — Elemental,R,{4}{G}{G},6,5,5,,0.08,,G
Creature — Zombie,C,{1}{B},2,2,2,,0.24,,B
Creature — Bird Wizard,U,{2}{U},3,2,2,,0.09,,U
Creature — Elemental Shaman,U,{1}{U},2,2,1,,0.2,,U
Creature — Elemental,C,{2}{R}{R},4,3,3,,0.19,,R
Land,C,,0,,,,0.06,,RW
Sorcery,C,{2}{U},3,,,,0.11,,U
Enchantment — Aura,C,{4}{G},5,,,,0.02,,G
Artifact — Equipment,U,{3}{G},4,,,,0.05,,G
Creature — Elf Scout,U,{1}{G},2,2,2,,0.07,,G
Creature — Elf Druid,C,{1}{G},2,1,1,,4.53,,G
Creature — Bird,R,{3}{U}{U},5,2,4,,0.25,,U
Legendary Creature — Elemental Horror,M,{2}{B}{G}{U},5,3,5,,11.31,,BGU
Creature — Horror,U,{B}{B},2,1,1,,0.28,,B
Creature — Elemental,U,{3}{U},4,4,4,,0.02,,U
Creature — Ox,C,{W},1,0,4,,0.02,,W
Enchantment,C,{1}{U},2,,,,0.13,,U
Creature — Human Soldier,C,{1}{W},2,2,1,,0.11,,W
Instant,C,{B},1,,,,0.03,,B
Creature — Human Warrior,U,{R}{W},2,2,2,,0.11,,RW
Creature — Dog,C,{1}{W},2,2,2,,0.07,,W
Instant,U,{1}{W},2,,,,0.08,,W
Land,R,,0,,,,0.93,,
Creature — Human Cleric,C,{W},1,1,1,,0.01,,W
Creature — Human Cleric,U,{B},1,1,1,,0.17,,B
Creature — Bird Warrior,U,{3}{W}{W},5,4,3,,0.01,,W
Legendary Creature — Human Monk,R,{2}{G},3,1,2,,9.41,,G
Sorcery,U,{4}{B}{B},6,,,,0.06,,B
Creature — Angel,M,{3}{W}{W},5,5,5,,1.76,,W
Legendary Creature — Human Wizard,R,{1}{U}{U},3,2,2,,0.22,,U
Legendary Planeswalker — Basri,M,{1}{W}{W},3,,,3,1.61,,W
Legendary Planeswalker — Basri,M,{4}{W}{W},6,,,4,N/A,,W
Creature — Cat Cleric,C,{2}{W}{W},4,2,3,,0.02,,W
Sorcery,R,{2}{W}{W},4,,,,0.22,,W
Creature — Human Knight,R,{3}{W},4,3,4,,0.22,,W
Sorcery,U,{1}{W},2,,,,0.09,,W
Creature — Goblin Shaman,U,{3}{R},4,2,2,,0.01,,R
Creature — Vampire,C,{4}{B},5,4,3,,0.02,,B
Land,C,,0,,,,0.07,,BR
Land,C,,0,,,,0.11,,GW
Creature — Elemental Dog,U,{2}{R},3,2,2,,0.38,,R
Creature — Cyclops,C,{4}{R}{R},6,4,5,,0.01,,R
Creature — Goblin,R,{4}{R},5,1,1,,0.64,,R
Creature — Treefolk,U,{2}{G}{G},4,2,3,,0.02,,G
Instant,C,{2}{R},3,,,,0.02,,R
Creature — Zombie,C,{2}{B},3,2,3,,0.02,,B
Instant,C,{1}{U}{U},3,,,,0.04,,U
Creature — Cat,U,{3}{G},4,4,2,,0.04,,G
Enchantment — Aura,C,{3}{U},4,,,,0.01,,U
Creature — Insect,U,{3}{B},4,0,5,,0.07,,B
Creature — Human Cleric,C,{2}{W},3,2,3,,0.02,,W
Legendary Planeswalker — Chandra,M,{4}{R}{R},6,,,5,N/A,,R
Legendary Planeswalker — Chandra,M,{3}{R}{R},5,,,5,0.41,,R
Creature — Hellion,R,{3}{R}{R},5,4,2,,0.29,,R
Creature — Elemental,R,{5}{R},6,6,6,,0.76,,R
Creature — Elemental Dog,C,{1}{R},2,2,2,,0.06,,R
Creature — Elemental Lizard,U,{1}{R},2,1,3,,0.03,,R
Legendary Artifact,M,{7},7,,,,26.65,,
Artifact Creature — Construct,U,{5},5,4,4,,0.02,,
Creature — Dinosaur,C,{4}{G}{G},6,6,6,,0.06,,G
Creature — Centaur Cleric,U,{G}{W},2,2,2,,0.34,,GW
Creature — Pegasus,C,{1}{W},2,1,3,,0.01,,W
Creature — Goblin Rogue,R,{R}{R},2,2,2,,5.08,,R
Creature — Human Cleric,R,{1}{W},2,2,2,,0.25,,W
Sorcery,C,{R},1,,,,0.08,,R
Creature — Horror,C,{3}{B},4,3,4,,0.01,,B
Sorcery,U,{2}{G},3,,,,0.54,,G
Creature — Unicorn,C,{1}{W},2,3,1,,0.02,,W
Creature — Fungus,C,{2}{B},3,3,2,,0.05,,B
Instant,C,{W},1,,,,0.05,,W
Enchantment — Aura,R,{1}{B}{B},3,,,,0.16,,B
Sorcery,C,{2}{R},3,,,,0.02,,R
Creature — Orc Pirate,U,{1}{B}{R},3,3,3,,0.05,,BR
Instant,M,{3}{U}{U}{U},6,,,,1.39,,U
Land,C,,0,,,,0.09,,UB
Enchantment,R,{3}{R}{R},5,,,,0.22,,R
Creature — Dinosaur,C,{1}{G},2,3,3,,0.02,,G
Enchantment — Aura,C,{2}{W},3,,,,0.02,,W
Sorcery,C,{B},1,,,,0.06,,B
Creature — Beast,M,{3}{G}{G},5,6,6,,13.34,,G
Instant,U,{1}{B},2,,,,0.04,,B
Enchantment — Aura,U,{3}{U}{U},5,,,,0.02,,U
Artifact Creature — Golem,U,{5},5,3,5,,0.05,,
Sorcery,U,{2}{U}{R},4,,,,0.1,,UR
Land,R,,0,,,,5.22,,
Enchantment — Aura,U,{3}{W},4,,,,0.04,,W
Creature — Human Soldier,U,{3}{W},4,2,3,,0.01,,W
Instant,C,{1}{W},2,,,,0.03,,W
Creature — Cat,R,{2}{G},3,2,3,,0.31,,G
Creature — Imp,C,{1}{B},2,1,2,,0.01,,B
Creature — Elf,U,{2}{G},3,1,1,,0.16,,G
Enchantment,M,{3}{R}{R}{R},6,,,,23.28,,R
Instant,C,{4}{B},5,,,,0.02,,B
Basic Land — Forest,C,,0,,,,0.05,,
Artifact Creature — Golem,C,{4},4,4,3,,0.01,,
Instant,C,{1}{U},2,,,,0.09,,U
Instant,C,{2}{U},3,,,,0.01,,U
Instant,U,{2}{G},3,,,,0.08,,G
Enchantment,U,{2}{R},3,,,,0.04,,R
Enchantment — Aura,C,{R},1,,,,0.01,,R
Legendary Creature — Dragon,R,{2}{R},3,5,4,,0.73,,R
Creature — Griffin,C,{3}{W},4,3,2,,0.01,,W
Legendary Planeswalker — Garruk,M,{4}{G}{G},6,,,5,N/A,,G
Legendary Planeswalker — Garruk,M,{2}{G}{G},4,,,4,0.66,,G
Creature — Beast,C,{4}{G},5,7,3,,0.03,,G
Creature — Beast,R,{1}{G}{G},3,4,3,,0.2,,G
Enchantment,U,{2}{G},3,,,,1.95,,G
Creature — Rhino,R,{3}{G}{G},5,3,5,,0.16,,G
Creature — Spirit Rogue,R,{1}{U},2,2,1,,0.17,,U
Creature — Horror,C,{5}{B}{B},7,8,6,,0.02,,B
Enchantment,R,{1}{W}{W},3,,,,0.2,,W
Creature — Treefolk Druid,C,{3}{G}{G},5,4,4,,0.02,,G
Creature — Goblin Shaman,C,{R},1,1,1,,0.04,,R
Instant,C,{3}{R},4,,,,0.04,,R
Creature — Demon,U,{4}{B}{B},6,5,5,,0.04,,B
Instant,C,{B}{B},2,,,,0.03,,B
Enchantment,U,{1}{W},2,,,,0.12,,W
Sorcery,M,{1}{B}{B},3,,,,17.35,,B
Creature — Devil,U,{4}{R},5,5,5,,0.03,,R
Creature — Human Wizard,U,{1}{R},2,2,2,,0.02,,R
Creature — Dragon,U,{5}{R}{R},7,6,6,,0.03,,R
Instant,R,{1}{G},2,,,,14.53,,G
Creature — Human Wizard,U,{2}{U}{U},4,3,3,,0.12,,U
Creature — Devil,C,{1}{R},2,2,1,,0.04,,R
Creature — Snake,R,{2}{B},3,1,4,,0.52,,B
Sorcery,C,{3}{G},4,,,,0.02,,G
Artifact,R,{2}{W},3,,,,0.11,,W
Creature — Elemental Dog,C,{1}{R},2,1,2,,0.07,,R
Creature — Vampire Noble,U,{1}{W}{B},3,1,4,,0.66,,WB
Enchantment — Aura,C,{1}{B},2,,,,0.02,,B
Instant,U,{2}{G},3,,,,0.22,,G
Basic Land — Island,C,,0,,,,0.05,,
Creature — Human Monk,U,{1}{U},2,1,2,,0.05,,U
Legendary Creature — Human Druid,R,{1}{G},2,1,2,,0.2,,G
Land,C,,0,,,,0.07,,BG
Legendary Creature — Human Warlock,R,{2}{B}{B},4,3,2,,0.15,,B
Creature — Human Soldier,C,{1}{U},2,2,1,,0.02,,U
Creature — Human Monk,U,{2}{R}{R},4,4,3,,0.28,,R
Creature — Human Shaman,U,{3}{R},4,*,4,,0.03,,R
Creature — Human Pirate,U,{1}{B},2,1,2,,0.14,,B
Creature — Elemental Druid,U,{2}{R}{G},4,4,3,,0.13,,GR
Sorcery,C,{2}{W},3,,,,0.01,,W
Creature — Merfolk Rogue,C,{2}{U},3,1,2,,0.04,,U
Instant,C,{G},1,,,,0.04,,G
Enchantment — Aura,U,{2}{W},3,,,,0.22,,W
Legendary Planeswalker — Liliana,M,{4}{B}{B},6,,,4,N/A,,B
Legendary Planeswalker — Liliana,M,{2}{B}{B},4,,,4,2.16,,B
Creature — Human Warlock,U,{2}{B},3,2,3,,0.04,,B
Sorcery,R,{3}{B}{B},5,,,,0.25,,B
Creature — Human Wizard,U,{2}{B},3,3,2,,0.35,,B
Creature — Zombie Knight,R,{2}{B},3,3,1,,0.23,,B
Creature — Zombie,C,{B},1,1,2,,0.03,,B
Creature — Elf Druid,C,{2}{G},3,2,2,,0.11,,G
Instant,C,{1}{U},2,,,,0.11,,U
Creature — Snake,U,{1}{G}{U},3,2,2,,0.07,,GU
Creature — Human Soldier,C,{2}{W},3,3,2,,0.04,,W
Artifact — Equipment,U,{1}{B},2,,,,0.03,,B
Legendary Creature — Human Cleric,M,{3}{W},4,2,4,,11.78,,W
Creature — Human Rogue,C,{1}{B},2,2,1,,0.03,,B
Creature — Phyrexian Wurm,M,{3}{B}{B}{B},6,6,5,,6.06,,B
Artifact,R,{2},2,,,,0.51,,
Artifact,U,{5},5,,,,0.05,,
Sorcery,C,{2}{B},3,,,,0.02,,B
Instant,U,{U},1,,,,1.7,,U
Creature — Siren,C,{2}{U},3,2,2,,0.02,,U
Basic Land — Mountain,C,,0,,,,0.06,,
Creature — Fish,C,{2}{U},3,3,1,,0.07,,U
Sorcery,R,{1}{B}{B},3,,,,2.69,,B
Legendary Creature — Human Cleric,R,{W}{U},2,2,1,,0.26,,WU
Enchantment,R,{1}{W}{W},3,,,,0.33,,W
Creature — Human Wizard,U,{1}{U}{B},3,0,3,,0.06,,UB
Creature — Ogre Warrior,C,{2}{R},3,4,2,,0.01,,R
Instant,C,{U},1,,,,0.05,,U
Creature — Dinosaur,C,{3}{G},4,2,2,,0.02,,G
Creature — Dog,R,{1}{W},2,2,2,,0.24,,W
Artifact Creature — Myr,U,{3},3,2,2,,0.3,,
Sorcery,R,{4}{B}{B}{B},7,,,,1.84,,B
Sorcery,U,{1}{B}{B},3,,,,0.03,,B
Creature — Devil,C,{4}{R},5,3,3,,0.03,,R
Basic Land — Plains,C,,0,,,,0.05,,
Creature — Plant Wall,C,{G},1,0,3,,0.02,,G
Creature — Wurm,U,{3}{G},4,4,4,,0.26,,G
Creature — Cat,C,{2}{G},3,2,1,,0.06,,G
Sorcery,R,{X}{G},1,,,,0.21,,G
Artifact Creature — Golem,C,{2},2,2,1,,0.03,,
Creature — Whale,R,{5}{U}{U},7,8,8,,0.09,,U
Creature — Dryad,U,{1}{G},2,1,1,,0.05,,G
Legendary Creature — Elf Warrior,R,{1}{R}{G},3,3,3,,0.75,,GR
Land,C,,0,,,,0.17,,
Instant,U,{3}{U},4,,,,0.04,,U
Creature — Dog,C,{3}{W}{W},5,3,4,,0.06,,W
Instant,C,{G},1,,,,0.05,,G
Sorcery,C,{5}{U},6,,,,0.02,,U
Instant,C,{1}{G},2,,,,0.09,,G
Instant,C,{1}{W},2,,,,0.06,,W
Instant,U,{2}{U}{U},4,,,,0.21,,U
Enchantment,U,{1}{U},2,,,,0.05,,U
Legendary Creature — Dog Cat,M,{1}{R}{G}{W},4,4,4,,14.28,,WGR
Sorcery,C,{4}{B},5,,,,0.01,,B
Creature — Spirit,C,{3}{U}{U},5,3,2,,0.02,,U
Instant,C,{U},1,,,,0.01,,U
Enchantment — Aura,C,{2}{U},3,,,,0.03,,U
Land,C,,0,,,,0.06,,GR
Instant,C,{G},1,,,,0.05,,G
Enchantment,R,{W}{W},2,,,,0.08,,W
Creature — Cat,C,{3}{G},4,3,3,,0.02,,G
Legendary Enchantment — Shrine,R,{W}{U}{B}{R}{G},5,,,,0.79,,WUBGR
Legendary Enchantment — Shrine,U,{3}{U},4,,,,0.33,,U
Legendary Enchantment — Shrine,U,{2}{G},3,,,,0.33,,G
Legendary Enchantment — Shrine,U,{2}{R},3,,,,0.28,,R
Legendary Enchantment — Shrine,U,{1}{B},2,,,,1.03,,B
Legendary Enchantment — Shrine,U,{W},1,,,,0.4,,W
Sorcery,C,{3}{B},4,,,,0.1,,B
Creature — Ooze,R,{1}{G},2,2,2,,0.25,,G
Instant,C,{1}{R},2,,,,0.03,,R
Land,C,,0,,,,0.11,,WB
Creature — Human Warrior,U,{1}{W},2,3,1,,0.16,,W
Sorcery,C,{4}{W},5,,,,0.01,,W
Sorcery,R,{1}{U},2,,,,0.72,,U
Creature — Dog,U,{W},1,1,1,,0.2,,W
Enchantment — Aura,C,{1}{G},2,,,,0.04,,G
Creature — Spirit,R,{1}{U},2,2,2,,0.16,,U
Creature — Merfolk Wizard,U,{3}{U}{U},5,3,3,,0.1,,U
Instant,C,{R},1,,,,0.04,,R
Artifact — Equipment,C,{1},1,,,,0.02,,
Creature — Human Soldier,U,{2}{W},3,1,1,,0.02,,W
Creature — Human Warrior,U,{3}{W},4,3,3,,0.11,,W
Artifact,C,{1},1,,,,0.07,,
Creature — Zombie Vampire,U,{2}{B},3,3,1,,0.15,,B
Creature — Skeleton Archer,C,{3}{B},4,3,3,,0.02,,B
Artifact Creature — Thopter,C,{3},3,1,1,,0.06,,
Creature — Elf Archer,U,{G},1,1,2,,0.04,,G
Creature — Spider,C,{1}{G},2,1,3,,0.01,,G
Artifact Creature — Golem,R,{4},4,2,2,,0.82,,
Instant,U,{2}{R},3,,,,0.06,,R
Artifact Creature — Masticore,R,{3},3,3,4,,0.11,,
Creature — Human Cleric,R,{W},1,1,1,,0.66,,W
Creature — Weird,C,{2}{R},3,2,2,,0.04,,R
Creature — Shark,C,{5}{U}{U},7,5,7,,0.03,,U
Creature — Spirit,C,{1}{B},2,2,1,,0.17,,B
Creature — Spider,R,{2}{G},3,1,4,,0.21,,G
Creature — Dwarf Soldier,C,{W},1,1,3,,0.01,,W
Creature — Ogre Shaman,C,{2}{R},3,3,2,,0.17,,R
Creature — Elemental,R,{3}{U}{U},5,3,3,,0.45,,U
Legendary Creature — Human Shaman,R,{2}{R},3,2,3,,0.17,,R
Instant,R,{4}{U}{U},6,,,,3.03,,U
Instant,C,{1}{R},2,,,,0.01,,R
Basic Land — Swamp,C,,0,,,,0.06,,
Instant,C,{1}{W},2,,,,0.01,,W
Land,C,,0,,,,0.07,,UR
Creature — Human Rogue,U,{1}{B},2,2,2,,0.05,,B
Legendary Planeswalker — Teferi,M,{2}{U}{U},4,,,3,6,,U
Legendary Planeswalker — Teferi,M,{4}{U}{U},6,,,4,N/A,,U
Legendary Enchantment,R,{2}{U}{U},4,,,,3.92,,U
Creature — Human Wizard,C,{2}{U},3,2,3,,0.01,,U
Enchantment,U,{2}{U},3,,,,0.21,,U
Creature — Merfolk Wizard,R,{3}{U}{U},5,3,3,,0.15,,U
Creature — Human Knight,U,{1}{W},2,1,2,,0.02,,W
Land,R,,0,,,,0.25,,UR
Land,R,,0,,,,0.28,,BG
Land,R,,0,,,,0.27,,GU
Land,R,,0,,,,0.3,,WB
Land,R,,0,,,,0.28,,RW
Creature — Dragon,M,{3}{R}{R},5,5,4,,33.64,,R
Creature — Human Rogue,R,{B},1,1,1,,0.19,,B
Land,C,,0,,,,0.07,,GU
Creature — Dinosaur,U,{1}{G}{G},3,3,4,,0.07,,G
Instant,C,{1}{R},2,,,,0.07,,R
Creature — Drake,U,{3}{U},4,2,3,,0.03,,U
Instant,C,{1}{G},2,,,,0.02,,G
Creature — Kraken,U,{4}{U}{U},6,4,6,,0.08,,U
Creature — Spirit,C,{3}{U},4,3,3,,0.02,,U
Artifact,U,{0},0,,,,0.35,,
Sorcery,C,{1}{G},2,,,,0.04,,G
Sorcery,U,{3}{R},4,,,,0.08,,R
Land,C,,0,,,,0.06,,WU
Sorcery,R,{3}{R},4,,,,0.52,,R
Creature — Boar,C,{2}{G},3,2,2,,0.02,,G
Sorcery,C,{3}{R}{R},5,,,,0.01,,R
Creature — Ogre Warrior,C,{3}{R},4,4,3,,0.02,,R
Creature — Elf Assassin,U,{3}{B}{G},5,5,4,,0.07,,BG
Legendary Planeswalker — Ugin,M,{8},8,,,7,18.71,,
Instant,U,{1}{R},2,,,,0.2,,R
Instant,U,{1}{U},2,,,,0.14,,U
Creature — Unicorn,C,{4}{W},5,3,3,,0.02,,W
Instant,C,{B},1,,,,0.19,,B
Legendary Creature — Vampire Cleric,R,{2}{B},3,1,3,,3.63,,B
Creature — Merfolk Wizard,C,{1}{U},2,1,3,,0.02,,U
Instant,U,{X}{R}{R},2,,,,0.05,,R
Sorcery,R,{10}{R}{R},12,,,,0.09,,R
Creature — Pegasus,U,{2}{W},3,2,1,,0.16,,W
Creature — Whale,U,{5}{U}{U},7,7,7,,0.24,,U
Creature — Zombie,C,{1}{B},2,2,2,,0.02,,B
Creature — Wall,C,{U},1,0,4,,0.06,,U
Creature — Wall,C,{2}{W},3,0,3,,0.02,,W
Creature — Treefolk,U,{4}{G}{G},6,5,7,,0.04,,G
Creature — Bird Wizard,U,{W}{U},2,2,2,,0.21,,WU
Creature — Centaur Scout,C,{2}{G},3,4,2,,0.14,,G
Creature — Hydra,U,{X}{G},1,0,0,,0.07,,G
Land,C,,0,,,,0.08,,RW
Creature — Crab,C,{3}{U},4,2,5,,0.04,,U
Artifact,U,{B},1,,,,0.05,,B
Creature — Horror,C,{3}{B}{G}{U},6,3,4,,0.09,Sultai,BGU
Enchantment,R,{W}{B}{G},3,,,,0.17,Abzan,WBG
Artifact,C,{3},3,,,,0.08,Abzan,WBG
Creature — Human Cleric,U,{3}{W},4,3,2,,0.31,Abzan,W
Instant,U,{W}{B}{G},3,,,,0.12,Abzan,WBG
Creature — Human Soldier,U,{2}{W},3,2,3,,0.14,Abzan,W
Creature — Human Warrior,C,{3}{W}{B}{G},6,4,4,,0.03,Abzan,WBG
